sessionnum,roundnum,playerid,previouslytie,nowtie,playeraction,alteraction,otherD,act,break_,make,state,CC,DD
4,2,424,0,0,C,D,1,0,,0,CD,0,0
4,2,420,0,1,C,C,0,1,,1,CC,1,0
4,2,405,0,1,D,C,0,1,,1,DC,0,0
4,2,411,0,1,D,C,0,1,,1,DC,0,0
4,2,421,0,1,C,C,0,1,,1,CC,1,0
4,2,422,0,1,D,C,0,1,,1,DC,0,0
4,2,401,0,1,C,C,0,1,,1,CC,1,0
4,2,410,0,1,D,C,0,1,,1,DC,0,0
4,2,400,0,1,C,C,0,1,,1,CC,1,0
4,2,406,0,1,C,C,0,1,,1,CC,1,0
4,2,424,0,0,C,D,1,0,,0,CD,0,0
4,2,417,0,1,D,D,1,1,,1,DD,0,1
4,2,401,0,1,C,D,1,1,,1,CD,0,0
4,2,410,0,1,D,C,0,1,,1,DC,0,0
4,2,422,0,1,D,D,1,1,,1,DD,0,1
4,2,400,0,0,C,D,1,0,,0,CD,0,0
4,2,424,0,0,C,D,1,0,,0,CD,0,0
4,2,406,0,1,C,C,0,1,,1,CC,1,0
4,2,411,0,0,D,D,1,0,,0,DD,0,1
4,2,410,0,1,D,C,0,1,,1,DC,0,0
4,2,422,0,1,D,C,0,1,,1,DC,0,0
4,2,420,0,0,C,D,1,0,,0,CD,0,0
4,2,432,0,0,D,C,0,0,,0,DC,0,0
4,2,410,0,1,D,C,0,1,,1,DC,0,0
4,2,403,0,1,C,C,0,1,,1,CC,1,0
4,2,406,0,1,C,C,0,1,,1,CC,1,0
4,2,422,0,1,D,D,1,1,,1,DD,0,1
4,2,403,0,0,C,D,1,0,,0,CD,0,0
4,2,422,0,1,D,C,0,1,,1,DC,0,0
4,2,403,0,1,C,C,0,1,,1,CC,1,0
4,2,422,0,1,D,C,0,1,,1,DC,0,0
10,1,1001,1,1,D,C,0,0,0,,DC,0,0
10,1,1008,1,0,C,D,1,1,1,,CD,0,0
10,1,1014,0,0,D,D,1,0,,0,DD,0,1
10,1,1016,0,1,C,C,0,1,,1,CC,1,0
10,1,1013,1,1,C,D,1,0,0,,CD,0,0
10,1,1011,1,1,D,C,0,0,0,,DC,0,0
10,1,1029,0,1,C,D,1,1,,1,CD,0,0
10,1,1021,1,1,C,C,0,0,0,,CC,1,0
10,1,1018,1,1,C,C,0,0,0,,CC,1,0
10,1,1008,0,1,C,C,0,1,,1,CC,1,0
10,1,1006,0,1,C,D,1,1,,1,CD,0,0
10,1,1009,0,1,C,C,0,1,,1,CC,1,0
10,1,1014,0,1,D,C,0,1,,1,DC,0,0
10,1,1019,0,0,C,D,1,0,,0,CD,0,0
10,1,1016,0,1,C,D,1,1,,1,CD,0,0
10,1,1027,0,1,C,D,1,1,,1,CD,0,0
10,1,1009,0,1,C,C,0,1,,1,CC,1,0
10,1,1002,0,1,C,C,0,1,,1,CC,1,0
10,1,1017,0,0,C,D,1,0,,0,CD,0,0
10,1,1011,0,1,D,C,0,1,,1,DC,0,0
10,1,1003,0,0,D,C,0,0,,0,DC,0,0
10,1,1007,0,0,D,C,0,0,,0,DC,0,0
10,1,1006,0,1,C,C,0,1,,1,CC,1,0
10,1,1029,0,1,C,C,0,1,,1,CC,1,0
10,1,1016,0,1,C,C,0,1,,1,CC,1,0
10,1,1019,0,0,C,D,1,0,,0,CD,0,0
10,1,1010,0,1,C,C,0,1,,1,CC,1,0
10,1,1003,0,0,D,C,0,0,,0,DC,0,0
10,1,1018,1,0,C,D,1,1,1,,CD,0,0
10,1,1005,0,0,D,C,0,0,,0,DC,0,0
10,1,1009,0,1,C,C,0,1,,1,CC,1,0
10,1,1002,0,1,C,C,0,1,,1,CC,1,0
10,1,1007,0,1,D,C,0,1,,1,DC,0,0
10,1,1000,0,1,C,C,0,1,,1,CC,1,0
10,1,1021,0,1,C,C,0,1,,1,CC,1,0
10,1,1006,0,0,C,D,1,0,,0,CD,0,0
10,1,1019,0,0,C,D,1,0,,0,CD,0,0
10,1,1029,0,1,C,D,1,1,,1,CD,0,0
10,1,1012,1,1,C,C,0,0,0,,CC,1,0
10,1,1008,0,1,C,D,1,1,,1,CD,0,0
10,1,1017,0,0,C,D,1,0,,0,CD,0,0
10,1,1002,0,0,C,D,1,0,,0,CD,0,0
10,1,1029,0,1,C,C,0,1,,1,CC,1,0
10,1,1008,0,1,C,D,1,1,,1,CD,0,0
10,1,1018,0,1,C,C,0,1,,1,CC,1,0
10,1,1019,0,1,C,C,0,1,,1,CC,1,0
10,1,1017,0,1,C,C,0,1,,1,CC,1,0
10,1,1010,0,1,C,C,0,1,,1,CC,1,0
10,1,1002,0,1,C,C,0,1,,1,CC,1,0
10,1,1008,0,1,C,C,0,1,,1,CC,1,0
10,1,1005,0,0,D,C,0,0,,0,DC,0,0
10,1,1021,0,1,C,C,0,1,,1,CC,1,0
10,1,1030,1,0,D,C,0,1,1,,DC,0,0
10,1,1000,0,0,C,D,1,0,,0,CD,0,0
10,1,1002,0,1,C,C,0,1,,1,CC,1,0
10,1,1008,0,1,C,C,0,1,,1,CC,1,0
10,1,1018,0,1,C,C,0,1,,1,CC,1,0
10,1,1019,0,1,C,C,0,1,,1,CC,1,0
10,1,1017,0,1,C,C,0,1,,1,CC,1,0
10,1,1005,0,1,D,C,0,1,,1,DC,0,0
10,1,1002,0,1,C,C,0,1,,1,CC,1,0
10,1,1019,0,0,C,D,1,0,,0,CD,0,0
10,1,1021,0,0,C,D,1,0,,0,CD,0,0
10,1,1000,0,1,C,C,0,1,,1,CC,1,0
10,1,1012,0,1,C,D,1,1,,1,CD,0,0
10,1,1019,0,0,C,D,1,0,,0,CD,0,0
10,1,1005,0,0,D,D,1,0,,0,DD,0,1
10,1,1003,0,0,D,C,0,0,,0,DC,0,0
10,1,1024,0,1,C,D,1,1,,1,CD,0,0
10,1,1005,0,0,D,C,0,0,,0,DC,0,0
10,1,1024,0,1,C,D,1,1,,1,CD,0,0
10,1,1030,0,0,D,C,0,0,,0,DC,0,0
10,1,1005,0,0,D,D,1,0,,0,DD,0,1
10,1,1024,0,1,C,C,0,1,,1,CC,1,0
10,1,1024,0,1,C,C,0,1,,1,CC,1,0
10,1,1030,0,1,D,C,0,1,,1,DC,0,0
10,1,1013,1,0,C,C,0,1,1,,CC,1,0
10,1,1013,0,1,C,C,0,1,,1,CC,1,0
10,1,1013,0,1,C,D,1,1,,1,CD,0,0
10,2,1008,1,0,C,C,0,1,1,,CC,1,0
10,2,1007,1,1,C,C,0,0,0,,CC,1,0
10,2,1011,1,1,D,C,0,0,0,,DC,0,0
10,2,1016,0,0,C,C,0,0,,0,CC,1,0
10,2,1017,1,1,C,C,0,0,0,,CC,1,0
10,2,1003,0,0,D,D,1,0,,0,DD,0,1
10,2,1027,1,0,D,C,0,1,1,,DC,0,0
10,2,1019,1,0,C,D,1,1,1,,CD,0,0
10,2,1008,1,0,C,C,0,1,1,,CC,1,0
10,2,1002,1,1,C,C,0,0,0,,CC,1,0
10,2,1016,0,0,C,D,1,0,,0,CD,0,0
10,2,1010,1,0,C,D,1,1,1,,CD,0,0
10,2,1029,0,1,C,C,0,1,,1,CC,1,0
10,2,1014,1,0,D,D,1,1,1,,DD,0,1
10,2,1013,1,0,D,D,1,1,1,,DD,0,1
10,2,1011,0,1,D,C,0,1,,1,DC,0,0
10,2,1019,0,0,C,D,1,0,,0,CD,0,0
10,2,1008,1,0,C,C,0,1,1,,CC,1,0
10,2,1002,1,0,C,D,1,1,1,,CD,0,0
10,2,1017,0,1,C,C,0,1,,1,CC,1,0
10,2,1014,0,1,D,C,0,1,,1,DC,0,0
10,2,1012,1,1,C,D,1,0,0,,CD,0,0
10,2,1029,0,1,C,C,0,1,,1,CC,1,0
10,2,1013,0,1,D,C,0,1,,1,DC,0,0
10,2,1019,0,1,C,C,0,1,,1,CC,1,0
10,2,1021,1,1,C,C,0,0,0,,CC,1,0
10,2,1005,1,0,D,C,0,1,1,,DC,0,0
10,2,1010,0,0,C,D,1,0,,0,CD,0,0
10,2,1000,1,0,C,C,0,1,1,,CC,1,0
10,2,1006,1,1,D,C,0,0,0,,DC,0,0
10,2,1007,0,1,C,C,0,1,,1,CC,1,0
10,2,1027,0,1,D,C,0,1,,1,DC,0,0
10,2,1029,0,0,C,C,0,0,,0,CC,1,0
10,2,1002,0,1,C,C,0,1,,1,CC,1,0
10,2,1019,0,1,C,D,1,1,,1,CD,0,0
10,2,1013,0,0,D,D,1,0,,0,DD,0,1
10,2,1007,0,1,C,D,1,1,,1,CD,0,0
10,2,1018,0,1,D,D,1,1,,1,DD,0,1
10,2,1027,0,0,D,C,0,0,,0,DC,0,0
10,2,1003,0,0,D,C,0,0,,0,DC,0,0
10,2,1029,0,0,C,D,1,0,,0,CD,0,0
10,2,1000,1,0,C,D,1,1,1,,CD,0,0
10,2,1021,0,1,C,C,0,1,,1,CC,1,0
10,2,1007,0,1,C,D,1,1,,1,CD,0,0
10,2,1013,0,1,D,D,1,1,,1,DD,0,1
10,2,1009,1,1,C,D,1,0,0,,CD,0,0
10,2,1002,0,0,C,D,1,0,,0,CD,0,0
10,2,1001,1,1,D,C,0,0,0,,DC,0,0
10,2,1006,1,1,D,C,0,0,0,,DC,0,0
10,2,1012,1,0,C,C,0,1,1,,CC,1,0
10,2,1027,0,0,D,C,0,0,,0,DC,0,0
10,2,1005,1,1,D,C,0,0,0,,DC,0,0
10,2,1013,0,0,D,C,0,0,,0,DC,0,0
10,2,1018,0,1,D,D,1,1,,1,DD,0,1
10,2,1009,1,1,C,C,0,0,0,,CC,1,0
10,2,1000,0,0,C,C,0,0,,0,CC,1,0
10,2,1005,1,0,D,D,1,1,1,,DD,0,1
10,2,1006,0,0,D,C,0,0,,0,DC,0,0
10,2,1001,0,0,D,D,1,0,,0,DD,0,1
10,2,1024,1,0,C,D,1,1,1,,CD,0,0
10,2,1012,1,0,C,C,0,1,1,,CC,1,0
10,2,1009,0,1,C,D,1,1,,1,CD,0,0
10,2,1000,0,1,C,D,1,1,,1,CD,0,0
10,2,1005,1,1,D,D,1,0,0,,DD,0,1
10,2,1001,0,1,D,C,0,1,,1,DC,0,0
10,2,1009,0,1,C,C,0,1,,1,CC,1,0
10,2,1006,0,0,D,D,1,0,,0,DD,0,1
10,2,1021,0,1,C,C,0,1,,1,CC,1,0
10,2,1000,0,1,C,C,0,1,,1,CC,1,0
10,2,1005,0,0,D,D,1,0,,0,DD,0,1
10,2,1012,0,0,C,C,0,0,,0,CC,1,0
10,2,1006,0,1,D,C,0,1,,1,DC,0,0
10,2,1005,0,0,D,D,1,0,,0,DD,0,1
10,2,1024,1,1,C,C,0,0,0,,CC,1,0
10,2,1005,0,1,D,C,0,1,,1,DC,0,0
10,2,1024,1,1,C,C,0,0,0,,CC,1,0
10,2,1024,0,1,C,C,0,1,,1,CC,1,0
10,2,1003,0,0,D,C,0,0,,0,DC,0,0
10,2,1030,1,1,C,C,0,0,0,,CC,1,0
10,2,1024,0,1,C,C,0,1,,1,CC,1,0
10,2,1030,1,1,C,D,1,0,0,,CD,0,0
10,2,1024,0,1,C,D,1,1,,1,CD,0,0
10,2,1024,0,1,C,D,1,1,,1,CD,0,0
10,3,1029,1,0,C,D,1,1,1,,CD,0,0
10,3,1016,0,0,D,D,1,0,,0,DD,0,1
10,3,1011,1,1,D,C,0,0,0,,DC,0,0
10,3,1008,1,0,C,D,1,1,1,,CD,0,0
10,3,1013,1,1,D,D,1,0,0,,DD,0,1
10,3,1001,1,1,D,C,0,0,0,,DC,0,0
10,3,1019,1,0,C,D,1,1,1,,CD,0,0
10,3,1006,1,0,D,D,1,1,1,,DD,0,1
10,3,1014,1,1,D,C,0,0,0,,DC,0,0
10,3,1016,0,0,D,D,1,0,,0,DD,0,1
10,3,1000,1,0,D,D,1,1,1,,DD,0,1
10,3,1013,0,1,D,D,1,1,,1,DD,0,1
10,3,1017,1,1,D,C,0,0,0,,DC,0,0
10,3,1018,1,1,D,D,1,0,0,,DD,0,1
10,3,1008,0,1,C,C,0,1,,1,CC,1,0
10,3,1001,0,0,D,C,0,0,,0,DC,0,0
10,3,1011,1,1,D,C,0,0,0,,DC,0,0
10,3,1019,1,0,C,D,1,1,1,,CD,0,0
10,3,1027,0,0,C,C,0,0,,0,CC,1,0
10,3,1009,1,1,C,C,0,0,0,,CC,1,0
10,3,1021,1,0,C,D,1,1,1,,CD,0,0
10,3,1029,1,0,C,D,1,1,1,,CD,0,0
10,3,1016,0,0,D,D,1,0,,0,DD,0,1
10,3,1005,1,0,D,C,0,1,1,,DC,0,0
10,3,1013,0,0,D,D,1,0,,0,DD,0,1
10,3,1009,1,1,C,C,0,0,0,,CC,1,0
10,3,1006,1,0,D,D,1,1,1,,DD,0,1
10,3,1008,0,1,C,C,0,1,,1,CC,1,0
10,3,1014,0,0,D,D,1,0,,0,DD,0,1
10,3,1018,0,1,D,C,0,1,,1,DC,0,0
